medianame	source_url	domain	country	bias	factual
Opposing Views	https://www.opposingviews.com/	www.opposingviews.com	USA	leftcenter	mixed
The Herald News (Massachusetts)	https://www.heraldnews.com	www.heraldnews.com	USA	center	high
Ahram Online	http://english.ahram.org.eg/	english.ahram.org.eg	Egypt	rightcenter	high
USA Public Life	http://www.usapubliclife.com	www.usapubliclife.com	None	extremeright	questionable source
World Press Review	http://worldpress.org/	worldpress.org	None	center	very high
Reuters	https://www.reuters.com	www.reuters.com	United Kingdom	center	very high
Eurasia Group	http://www.eurasiagroup.net/	www.eurasiagroup.net	None	center	high
CNBC	https://www.cnbc.com/	www.cnbc.com	USA	leftcenter	high
News Heist	http://newsheist.com/	newsheist.com	None	rightcenter	mixed
Americas Quarterly	http://www.americasquarterly.org/	www.americasquarterly.org	None	rightcenter	high
The Village Voice	http://www.villagevoice.com/	www.villagevoice.com	None	left	high
WorldCrunch	https://www.worldcrunch.com/	www.worldcrunch.com	None	leftcenter	high
News Rescue	http://newsrescue.com/	newsrescue.com	None	rightcenter	high
We The People Daily	https://wethepeopledaily.com/	wethepeopledaily.com	USA	extremeright	mixed
Patch	https://patch.com/	patch.com	USA	center	high
Libertarianism.org	https://www.libertarianism.org	www.libertarianism.org	USA	rightcenter	high
Real Time Politics	http://realtimepolitics.com/	realtimepolitics.com	None	left	questionable source
Defiant America	http://defiantamerica.com/	defiantamerica.com	None	extremeright	low
Council on American-Islamic Relations (CAIR)	https://www.cair.com/	www.cair.com	USA	rightcenter	mixed
The Federalist	https://thefederalist.com/	thefederalist.com	USA	right	mixed
AltNewsMedia.net	https://altnewsmedia.net	altnewsmedia.net	Italy	right	high
Return of Kings	http://www.returnofkings.com/	www.returnofkings.com	None	extremeright	questionable source
The Economic Times	http://economictimes.indiatimes.com/	economictimes.indiatimes.com	India	leftcenter	high
Far Left Watch	https://farleftwatch.com	farleftwatch.com	USA	right	mixed
Our Voice NY	https://ourvoiceny.com	ourvoiceny.com	None	left	high
MAGAVoter.com	https://magavoter.com/	magavoter.com	Unknown	extremeright	questionable source
Armstrong Economics	https://www.armstrongeconomics.com	www.armstrongeconomics.com	USA	right	mixed
Syrian Observatory for Human Rights (SOHR)	http://www.syriahr.com/en/	www.syriahr.com	None	leftcenter	high
Winning Democrats	http://winningdemocrats.com/	winningdemocrats.com	None	extremeleft	None
Global Voices	https://globalvoices.org/	globalvoices.org	USA	left	high
Liberty Unyielding	http://libertyunyielding.com/	libertyunyielding.com	USA	right	mostly factual
Commonweal Magazine	https://www.commonwealmagazine.org	www.commonwealmagazine.org	None	leftcenter	high
MSNBC	https://www.msnbc.com/	www.msnbc.com	USA	left	mixed
The National Patriot	http://www.thenationalpatriot.com/	www.thenationalpatriot.com	None	extremeright	questionable source
WGN News	http://wgntv.com/	wgntv.com	None	leftcenter	high
The Post Star	http://poststar.com	poststar.com	USA	center	high
CCN Markets	https://www.ccn.com	www.ccn.com	Norway	rightcenter	high
Quartz	https://qz.com/	qz.com	USA	leftcenter	high
Federal News Network	https://federalnewsnetwork.com/	federalnewsnetwork.com	USA	center	high
Commonwealth Fund	https://www.commonwealthfund.org/	www.commonwealthfund.org	USA	leftcenter	high
Metabunk	https://www.metabunk.org/	www.metabunk.org	None	center	high
Clarion Project	https://clarionproject.org/	clarionproject.org	None	extremeright	low
LeftScoop	https://www.leftscoop.com/	www.leftscoop.com	None	left	mixed
Washington Institute for Near East Policy	https://www.washingtoninstitute.org	www.washingtoninstitute.org	USA	rightcenter	mixed
Patriot Hangout	http://patriothangout.com/	patriothangout.com	None	extremeright	questionable source
Bizpac Review	https://www.bizpacreview.com	www.bizpacreview.com	USA	right	mixed
The Record (New Jersey)	http://www.northjersey.com/	www.northjersey.com	None	leftcenter	high
Right Wing News (Rightwing.news)	https://rightwing.news	rightwing.news	USA	extremeright	questionable source
News and News	https://newsandnews.com/	newsandnews.com	USA	center	high
Euronews	https://www.euronews.com	www.euronews.com	France	center	high
Rasmussen Reports	http://www.rasmussenreports.com/	www.rasmussenreports.com	USA	rightcenter	high
National Youth Rights Association	http://www.youthrights.org/	www.youthrights.org	None	leftcenter	high
Liberty Hangout	http://libertyhangout.org/	libertyhangout.org	None	right	mixed
American College of Pediatricians	https://www.acpeds.org/	www.acpeds.org	USA	right	low
FaithWire	https://www.faithwire.com	www.faithwire.com	USA	right	mixed
Online Conservative Press	http://onlineconservativepress.com/	onlineconservativepress.com	None	extremeright	questionable source
ThoughtCo	https://www.thoughtco.com	www.thoughtco.com	USA	center	very high
Mothership	https://mothership.sg	mothership.sg	Singapore	leftcenter	mixed
WTXF-TV Fox 29	https://www.fox29.com/	www.fox29.com	USA	center	high
The Vindicator	https://www.vindy.com/	www.vindy.com	USA	center	high
The Daily Banter	https://thedailybanter.com/	thedailybanter.com	USA	left	mixed
Viral Thread	http://www.viralthread.com/	www.viralthread.com	United Kingdom	center	mixed
Castanet	https://www.castanet.net/	www.castanet.net	Canada	center	high
The Center on Budget and Policy Priorities	http://www.cbpp.org/	www.cbpp.org	None	leftcenter	high
National Alliance	https://natall.com/		None	extremeright	questionable source
Moving Left	http://movingleft.com/	movingleft.com	None	extremeleft	questionable source
The Chicago Reporter	http://chicagoreporter.com/	chicagoreporter.com	None	leftcenter	high
NewsNet (YourNewsNet.com)	http://yournewsnet.com	yournewsnet.com	USA	center	high
Hollywood Reporter	https://www.hollywoodreporter.com/	www.hollywoodreporter.com	USA	leftcenter	high
National Policy Institute	http://www.npiamerica.org/	www.npiamerica.org	None	extremeright	questionable source
Inside Higher Ed	https://www.insidehighered.com/	www.insidehighered.com	None	leftcenter	high
One Green Planet	http://www.onegreenplanet.org	www.onegreenplanet.org	USA	left	mixed
Lethbridge Herald	http://lethbridgeherald.com/	lethbridgeherald.com	None	leftcenter	high
The Daily Tarheel	http://www.dailytarheel.com/	www.dailytarheel.com	None	leftcenter	high
Woodrow Wilson International Center for Scholars	https://www.wilsoncenter.org/	www.wilsoncenter.org	USA	leftcenter	high
DC Blue Dot	http://www.dcbluedot.com	www.dcbluedot.com	USA	extremeleft	mixed
Bulletin of the Atomic Scientists	https://thebulletin.org/	thebulletin.org	None	center	very high
WorldPolitics News	http://24wpn.com/	24wpn.com	None	extremeright	questionable source
Occupy Independents	https://occupyindependents.com/	occupyindependents.com	USA	leftcenter	mixed
Free Press	http://freepress.org/	freepress.org	None	left	high
Law.com	None	None	USA	center	high
Reverb Press	http://reverbpress.news/	reverbpress.news	None	left	high
Analyzing America	https://www.analyzingamerica.org/	www.analyzingamerica.org	USA	extremeright	mixed
Conservative Tribune	https://www.westernjournal.com/ct/	www.westernjournal.com	USA	extremeright	very low
Townhall	https://townhall.com/	townhall.com	USA	right	mixed
The Spectator (USA)	https://spectator.us	spectator.us	USA	rightcenter	high
The Fifth Column	https://thefifthcolumnnews.com/	thefifthcolumnnews.com	USA	left	mixed
Global Slavery Index	https://www.globalslaveryindex.org	www.globalslaveryindex.org	Australia	center	high
Citizens for Tax Justice	https://ctj.org/	ctj.org	None	leftcenter	high
Crimeola	https://crimeola.com	crimeola.com	None	center	high
McClatchyDC	http://www.mcclatchydc.com/	www.mcclatchydc.com	USA	leftcenter	high
Pittsburgh Tribune Review	http://triblive.com/	triblive.com	None	rightcenter	high
Airwars	https://airwars.org/	airwars.org	None	center	high
Out Magazine	https://www.out.com	www.out.com	USA	left	high
Claremont Institute	https://www.claremont.org	www.claremont.org	USA	right	mixed
Amity Underground	https://amityunderground.com	amityunderground.com	United Kingdom	left	mixed
The New Arab	https://www.alaraby.co.uk/english	www.alaraby.co.uk	None	leftcenter	high
The Badger Institute	https://www.badgerinstitute.org/	www.badgerinstitute.org	USA	right	mixed
Source Politics	https://www.sourcepolitics.com	www.sourcepolitics.com	USA	left	mixed
FiveThirtyEight	https://fivethirtyeight.com/	fivethirtyeight.com	USA	leftcenter	high
Clash Daily	https://clashdaily.com/	clashdaily.com	None	extremeright	low
World Economic Forum	https://www.weforum.org/	www.weforum.org	None	center	high
Lew Rockwell	https://www.lewrockwell.com/	www.lewrockwell.com	USA	extremeright	mixed
Americans Are Pissed	https://www.americansarepissed.com/	www.americansarepissed.com	Unknown	extremeright	low
Regina Leader-Post	https://leaderpost.com	leaderpost.com	Canada	rightcenter	high
Cambridge Analytica	https://ca-political.com	ca-political.com	United Kingdom	right	mixed
Al Bawaba	http://www.albawaba.com/	www.albawaba.com	None	center	high
Ice News	http://www.icenews.is/	www.icenews.is	None	leftcenter	high
MWC News - Media With Conscience	http://mwcnews.net/	mwcnews.net	Belize	leftcenter	high
Stratfor	https://www.stratfor.com/	www.stratfor.com	None	center	high
The Stern Facts	https://thesternfacts.com/	thesternfacts.com	None	left	mixed
A Voice for Men	https://www.avoiceformen.com/	www.avoiceformen.com	None	right	low
History News Network	http://historynewsnetwork.org/	historynewsnetwork.org	USA	leftcenter	high
Conservative Firing Line	http://conservativefiringline.com/	conservativefiringline.com	USA	extremeright	mixed
Economic Policy Institute	https://www.epi.org	www.epi.org	USA	leftcenter	high
American Liberty Report	https://www.americanlibertyreport.com/	www.americanlibertyreport.com	None	right	mixed
Rodong Sinmun (North Korea)	http://www.rodong.rep.kp/en	www.rodong.rep.kp	North Korea	extremeleft	questionable source
Victoria Advocate	https://www.victoriaadvocate.com/	www.victoriaadvocate.com	USA	leftcenter	high
Alaska Dispatch News	https://www.adn.com/	www.adn.com	None	leftcenter	high
Black Pigeon Speaks	http://blackpigeonspeaks.com/	blackpigeonspeaks.com	None	extremeright	low
Debate Post	http://debatepost.com/	debatepost.com	None	right	high
Fox Business	https://www.foxbusiness.com/	www.foxbusiness.com	USA	rightcenter	mostly factual
ListVerse	https://listverse.com/	listverse.com	United Kingdom	rightcenter	mostly factual
New Moderate	https://newmoderate.com/	newmoderate.com	None	leftcenter	high
Daily Business Review	https://www.law.com/dailybusinessreview/	www.law.com	None	center	high
The Phnom Penh Post	http://www.phnompenhpost.com/	www.phnompenhpost.com	None	center	high
Politico	https://www.politico.com	www.politico.com	USA	center	high
Alabama Today	https://altoday.com/	altoday.com	None	center	high
Spectrum News - NY1	http://www.ny1.com/nyc/all-boroughs	www.ny1.com	USA	center	high
China Internet Information Center	http://www.china.org.cn/	www.china.org.cn	China	left	mixed
9 News (Australia)	http://www.9news.com.au/	www.9news.com.au	None	rightcenter	high
Albuquerque Journal	https://www.abqjournal.com/	www.abqjournal.com	USA	rightcenter	high
The Premium News	http://thepremiumnews.com/	thepremiumnews.com	None	extremeright	questionable source
Ruth Institute	http://www.ruthinstitute.org	www.ruthinstitute.org	None	extremeright	questionable source
American Oversight	https://www.americanoversight.org	www.americanoversight.org	USA	left	mixed
Africa Check	https://africacheck.org	africacheck.org	South Africa	center	very high
Savannah Morning News	https://www.savannahnow.com/	www.savannahnow.com	USA	rightcenter	high
Exposing the Truth	https://www.exposingtruth.com/	www.exposingtruth.com	None	leftcenter	high
SocialistWorker.org	https://socialistworker.org/	socialistworker.org	USA	left	high
Investigative Reporters and Editors	https://www.ire.org/	www.ire.org	None	center	very high
Migration Policy Institute	https://www.migrationpolicy.org	www.migrationpolicy.org	USA	leftcenter	high
The Conservative Papers	https://conservativepapers.com/	conservativepapers.com	USA	right	mixed
Empty Wheel	https://www.emptywheel.net/	www.emptywheel.net	None	leftcenter	high
Foreign Policy in Focus	http://fpif.org/	fpif.org	USA	leftcenter	high
Shreveport Times	https://www.shreveporttimes.com	www.shreveporttimes.com	USA	center	high
Unique Web Magazine	http://uniquewebmagazine.com/	uniquewebmagazine.com	None	extremeright	questionable source
Hurriyet Daily News	http://www.hurriyetdailynews.com/	www.hurriyetdailynews.com	Turkey	leftcenter	mixed
The Spectator (UK)	https://www.spectator.co.uk/	www.spectator.co.uk	United Kingdom	rightcenter	mostly factual
USAnetwork.info	https://usanetwork.info	usanetwork.info	Unknown	extremeright	very low
Policy Review	http://www.hoover.org/publications/policy-review	www.hoover.org	None	right	high
The Republic (Indiana)	http://www.therepublic.com	www.therepublic.com	USA	center	high
SHTFplan.com	http://www.shtfplan.com/	www.shtfplan.com	None	extremeright	questionable source
The American Mirror	http://theamericanmirror.com/	theamericanmirror.com	USA	extremeright	questionable source
Newsweek	http://www.newsweek.com/	www.newsweek.com	USA	left	mixed
Washington Monthly	https://washingtonmonthly.com	washingtonmonthly.com	USA	leftcenter	high
Young America's Foundation (YAF)	https://www.yaf.org	www.yaf.org	USA	right	high
SCOTUSblog	http://www.scotusblog.com/	www.scotusblog.com	None	center	high
Canada Fact Check	https://canadafactcheck.ca	canadafactcheck.ca	Canada	left	mostly factual
Uproxx	https://uproxx.com/	uproxx.com	USA	left	mixed
Salon	https://www.salon.com	www.salon.com	USA	left	high
Great American Republic	https://greatamericanrepublic.com	greatamericanrepublic.com	USA	extremeright	low
BrexitCentral	https://brexitcentral.com/	brexitcentral.com	None	right	mixed
America's News Source	https://americasnewssource.com/	americasnewssource.com	Unknown	extremeright	very low
PragerU	https://www.prageru.com	www.prageru.com	USA	extremeright	low
The Ledger	https://www.theledger.com	www.theledger.com	USA	rightcenter	high
Voice of San Diego	http://www.voiceofsandiego.org/	www.voiceofsandiego.org	None	center	high
Progressive Army	http://progressivearmy.com	progressivearmy.com	None	left	high
UsRight-Left.com	http://usrightleft.com	usrightleft.com	Unknown	extremeright	questionable source
TMZ	https://www.tmz.com/	www.tmz.com	USA	leftcenter	mixed
Daily Hampshire Gazette	https://www.gazettenet.com	www.gazettenet.com	USA	leftcenter	high
Foreign Policy	https://foreignpolicy.com/	foreignpolicy.com	USA	center	high
Global News	https://globalnews.ca/	globalnews.ca	Canada	leftcenter	high
Canada Free Press	https://canadafreepress.com/	canadafreepress.com	Canada	extremeright	low
Big Think	https://bigthink.com/	bigthink.com	USA	center	high
Consumer Reports	https://www.consumerreports.org	www.consumerreports.org	USA	center	high
Patriot Beat	https://patriotbeat.com	patriotbeat.com	Unknown	extremeright	mixed
Fair Observer	https://www.fairobserver.com	www.fairobserver.com	None	center	high
Times-Colonist	http://www.timescolonist.com/	www.timescolonist.com	None	leftcenter	high
American Journal Review	http://www.americanjournalreview.com/	www.americanjournalreview.com	None	extremeright	low
Knight Foundation	http://www.knightfoundation.org/	www.knightfoundation.org	None	leftcenter	high
